"コード","銘柄名","市場"
"8938","グロームＨＬＤＧ","東G"
"9204","スカイマーク","東G"
"9211","エフ・コード","東G"
"9212","Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓ","東G"
"9214","Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎ","東G"
"9215","ＣａＳｙ","東G"
"9218","メンタルヘルステクノロジーズ","東G"
"9219","ギックス","東G"
"9227","マイクロ波化学","東G"
"9229","サンウェルズ","東G"
"9240","デリバリーコンサルティング","東G"
"9241","フューチャーリンクネットワーク","東G"
"9242","メディア総研","東G"
"9244","デジタリフト","東G"
"9245","リベロ","東G"
"9246","プロジェクトカンパニー","東G"
"9250","ＧＲＣＳ","東G"
"9251","ＡＢ＆Ｃｏｍｐａｎｙ","東G"
"9252","ラストワンマイル","東G"
"9253","スローガン","東G"
"9254","ラバブルマーケティンググループ","東G"
"9256","サクシード","東G"
"9257","ＹＣＰＨＬＤＧ（グローバル）","東G"
"9258","ＣＳ−Ｃ","東G"
"9259","タカヨシ","東G"
"9270","バリュエンスＨＬＤＧ","東G"
"9271","和心","東G"
"9272","ブティックス","東G"
"9326","関通","東G"
"9337","トリドリ","東G"
"9338","ＩＮＦＯＲＩＣＨ","東G"
"9341","ＧＥＮＯＶＡ","東G"
"9342","スマサポ","東G"
"9343","アイビス","東G"
"9344","アクシスコンサルティング","東G"
"9345","ビズメイツ","東G"
"9346","ココルポート","東G"
"9348","ｉｓｐａｃｅ","東G"
"9467","アルファポリス","東G"
"9522","リニューアブル・ジャパン","東G"
"9552","Ｍ＆Ａ総研ＨＬＤＧ","東G"
"9553","マイクロアド","東G"
"9554","ＡＶｉＣ","東G"
"9556","ＩＮＴＬＯＯＰ","東G"
"9557","エアークローゼット","東G"
"9558","ジャパニアス","東G"
"9560","プログリット","東G"
"9561","グラッドキューブ","東G"
"9562","ビジネスコーチ","東G"
"9563","Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇ","東G"
"9565","ウェルプレイド・ライゼスト","東G"
"コード","銘柄名","市場"
