"コード","銘柄名","市場"
"4980","デクセリアルズ","東P"
"4985","アース製薬","東P"
"4996","クミアイ化学工業","東P"
"4997","日本農薬","東P"
"5011","ニチレキ","東P"
"5017","富士石油","東P"
"5018","ＭＯＲＥＳＣＯ","東P"
"5019","出光興産","東P"
"5020","ＥＮＥＯＳ　ＨＬＤＧ","東P"
"5021","コスモエネルギーＨＬＤＧ","東P"
"5074","テスＨＬＤＧ","東P"
"5076","インフロニア・ＨＬＤＧ","東P"
"5101","横浜ゴム","東P"
"5105","ＴＯＹＯ　ＴＩＲＥ","東P"
"5108","ブリヂストン","東P"
"5110","住友ゴム工業","東P"
"5121","藤倉コンポジット","東P"
"5122","オカモト","東P"
"5128","ＷＯＷ　ＷＯＲＬＤ　ＧＲＯＵＰ","東P"
"5142","アキレス","東P"
"5185","フコク","東P"
"5186","ニッタ","東P"
"5191","住友理工","東P"
"5192","三ツ星ベルト","東P"
"5195","バンドー化学","東P"
"5201","ＡＧＣ","東P"
"5202","日本板硝子","東P"
"5208","有沢製作所","東P"
"5214","日本電気硝子","東P"
"5232","住友大阪セメント","東P"
"5233","太平洋セメント","東P"
"5261","リソルＨＬＤＧ","東P"
"5262","日本ヒューム","東P"
"5269","日本コンクリート工業","東P"
"5288","アジアパイルＨＬＤＧ","東P"
"5301","東海カーボン","東P"
"5302","日本カーボン","東P"
"5310","東洋炭素","東P"
"5331","ノリタケカンパニーリミテド","東P"
